Document,Title,Book,Author,URL,Classification
REV-13-ENG.txt,Revelation 13,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/13,Religious
REV-13-KNJ.txt,Apocalipsis 13,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/13,Religious
REV-14-ENG.txt,Revelation 14,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/14,Religious
REV-14-KNJ.txt,Apocalipsis 14,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/14,Religious
REV-15-ENG.txt,Revelation 15,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/15,Religious
REV-15-KNJ.txt,Apocalipsis 15,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/15,Religious
REV-16-ENG.txt,Revelation 16,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/16,Religious
REV-16-KNJ.txt,Apocalipsis 16,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/16,Religious
REV-17-ENG.txt,Revelation 17,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/17,Religious
REV-17-KNJ.txt,Apocalipsis 17,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/17,Religious
REV-18-ENG.txt,Revelation 18,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/18,Religious
REV-18-KNJ.txt,Apocalipsis 18,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/18,Religious
REV-19-ENG.txt,Revelation 19,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/19,Religious
REV-19-KNJ.txt,Apocalipsis 19,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/19,Religious
REV-2-ENG.txt,Revelation 2,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/2,Religious
REV-2-KNJ.txt,Apocalipsis 2,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/2,Religious
REV-20-ENG.txt,Revelation 20,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/20,Religious
REV-20-KNJ.txt,Apocalipsis 20,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/20,Religious
REV-21-ENG.txt,Revelation 21,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/21,Religious
REV-21-KNJ.txt,Apocalipsis 21,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/21,Religious
REV-22-ENG.txt,Revelation 22,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/22,Religious
REV-22-KNJ.txt,Apocalipsis 22,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/22,Religious
REV-3-ENG.txt,Revelation 3,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/3,Religious
REV-3-KNJ.txt,Apocalipsis 3,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/3,Religious
REV-4-ENG.txt,Revelation 4,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/4,Religious
REV-4-KNJ.txt,Apocalipsis 4,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/4,Religious
REV-5-ENG.txt,Revelation 5,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/5,Religious
REV-5-KNJ.txt,Apocalipsis 5,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/5,Religious
REV-6-ENG.txt,Revelation 6,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/6,Religious
REV-6-KNJ.txt,Apocalipsis 6,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/6,Religious
REV-7-ENG.txt,Revelation 7,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/7,Religious
REV-7-KNJ.txt,Apocalipsis 7,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/7,Religious
REV-8-ENG.txt,Revelation 8,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/8,Religious
REV-8-KNJ.txt,Apocalipsis 8,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/8,Religious
REV-9-ENG.txt,Revelation 9,New Testament (New International Version),,listen.bible.is/ENGNIV/REV/9,Religious
REV-9-KNJ.txt,Apocalipsis 9,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/REV/9,Religious
